"(PDH-CSV 4.0) (GMT Standard Time)(0)","\\WILLS-DESKTOP\Memory\Available MBytes","\\WILLS-DESKTOP\Process(cmd)\Creating Process ID"
"03/04/2018 12:34:38.073","28086","11160"
"03/04/2018 12:34:43.425","28029","11160"
"03/04/2018 12:34:53.722","27986","11160"
"03/04/2018 12:34:58.047","27973","11160"
"03/04/2018 12:35:03.035","27933","11160"
"03/04/2018 12:35:08.045","27926","11160"
"03/04/2018 12:35:13.035","27900","11160"
"03/04/2018 12:35:18.040","27878","11160"
"03/04/2018 12:35:23.039","27887","11160"
"03/04/2018 12:35:28.049","27866","11160"
"03/04/2018 12:35:38.847","27809","11160"
"03/04/2018 12:35:43.037","27786","11160"
"03/04/2018 12:35:48.038","27764","11160"
"03/04/2018 12:35:53.047","27743","11160"
"03/04/2018 12:35:58.039","27720","11160"
"03/04/2018 12:36:03.048","27698","11160"
"03/04/2018 12:36:08.037","27646","11160"
"03/04/2018 12:36:13.044","27640","11160"
"03/04/2018 12:36:22.898","27634","11160"
"03/04/2018 12:36:23.046","27633","11160"
"03/04/2018 12:36:28.036","27609","11160"
"03/04/2018 12:36:33.039","27581","11160"
"03/04/2018 12:36:38.046","27552","11160"
"03/04/2018 12:36:43.045","27521","11160"
"03/04/2018 12:36:48.036","27492","11160"
"03/04/2018 12:36:53.040","27466","11160"
"03/04/2018 12:37:03.753","27406","11160"
"03/04/2018 12:37:08.043","27500","11160"
"03/04/2018 12:37:13.037","27600","11160"
"03/04/2018 12:37:18.043","27560","11160"
"03/04/2018 12:37:23.037","27511","11160"
"03/04/2018 12:37:28.043","27477","11160"
"03/04/2018 12:37:33.036","27444","11160"
"03/04/2018 12:37:38.051","27438","11160"
"03/04/2018 12:37:48.878","27396","11160"
"03/04/2018 12:37:53.043","27374","11160"
"03/04/2018 12:37:58.050","27316","11160"
"03/04/2018 12:38:03.036","27297","11160"
"03/04/2018 12:38:08.042","27272","11160"
"03/04/2018 12:38:13.045","27240","11160"
"03/04/2018 12:38:18.036","27209","11160"
"03/04/2018 12:38:23.042","27184","11160"
"03/04/2018 12:38:32.816","27128","11160"
"03/04/2018 12:38:33.040","27127","11160"
"03/04/2018 12:38:38.047","27100","11160"
"03/04/2018 12:38:43.050","27075","11160"
"03/04/2018 12:38:48.043","27045","11160"
"03/04/2018 12:38:53.045","27012","11160"
"03/04/2018 12:38:58.048","26989","11160"
"03/04/2018 12:39:03.076","26953","11160"
"03/04/2018 12:39:13.191","26881","11160"
"03/04/2018 12:39:18.041","26854","11160"
"03/04/2018 12:39:23.044","26822","11160"
"03/04/2018 12:39:28.035","26800","11160"
"03/04/2018 12:39:33.038","26789","11160"
"03/04/2018 12:39:38.044","26767","11160"
"03/04/2018 12:39:43.047","26656","11160"
"03/04/2018 12:39:48.040","26697","11160"
"03/04/2018 12:39:53.035","26691","11160"
"03/04/2018 12:39:58.044","26683","11160"
"03/04/2018 12:40:03.036","26677","11160"
"03/04/2018 12:40:08.037","26723","11160"
"03/04/2018 12:40:13.045","26742","11160"
"03/04/2018 12:40:18.042","26776","11160"
"03/04/2018 12:40:28.270","26760","11160"
"03/04/2018 12:40:33.045","26722","11160"
"03/04/2018 12:40:38.039","26693","11160"
"03/04/2018 12:40:43.049","26661","11160"
"03/04/2018 12:40:48.049","26636","11160"
"03/04/2018 12:40:53.041","26603","11160"
"03/04/2018 12:41:03.035","26544","11160"
"03/04/2018 12:41:08.045","26511","11160"
"03/04/2018 12:41:13.038","26480","11160"
