"(PDH-CSV 4.0) (GMT Standard Time)(0)","\\WILLS-DESKTOP\Memory\Available MBytes"
"03/06/2018 16:55:47.532","28532"
"03/06/2018 16:55:52.510","28461"
"03/06/2018 16:55:57.508","28460"
"03/06/2018 16:56:02.513","28449"
"03/06/2018 16:56:07.511","28448"
"03/06/2018 16:56:12.509","28446"
"03/06/2018 16:56:17.936","28438"
"03/06/2018 16:56:28.089","28407"
"03/06/2018 16:56:38.719","28375"
"03/06/2018 16:56:42.515","28392"
"03/06/2018 16:56:47.505","28421"
"03/06/2018 16:56:58.072","28327"
"03/06/2018 16:57:02.507","28316"
"03/06/2018 16:57:07.514","28292"
"03/06/2018 16:57:12.507","28272"
"03/06/2018 16:57:17.507","28249"
"03/06/2018 16:57:22.518","28226"
"03/06/2018 16:57:27.509","28213"
"03/06/2018 16:57:34.113","28189"
"03/06/2018 16:57:48.112","28150"
"03/06/2018 16:57:52.515","28131"
"03/06/2018 16:57:57.503","28116"
"03/06/2018 16:58:02.509","28111"
"03/06/2018 16:58:07.514","28140"
"03/06/2018 16:58:12.512","28172"
"03/06/2018 16:58:17.510","28201"
"03/06/2018 16:58:22.508","28234"
"03/06/2018 16:58:27.517","28269"
"03/06/2018 16:58:32.510","28289"
"03/06/2018 16:58:37.507","28326"
"03/06/2018 16:58:42.513","28353"
"03/06/2018 16:58:47.517","28384"
"03/06/2018 16:58:57.267","28081"
"03/06/2018 16:58:57.517","28080"
"03/06/2018 16:59:02.506","28072"
"03/06/2018 16:59:07.511","28048"
"03/06/2018 16:59:12.511","28034"
"03/06/2018 16:59:17.516","28013"
"03/06/2018 16:59:22.506","27998"
"03/06/2018 16:59:28.558","27980"
"03/06/2018 16:59:37.905","27947"
"03/06/2018 16:59:47.159","27909"
"03/06/2018 16:59:58.144","27886"
"03/06/2018 17:00:02.504","27864"
"03/06/2018 17:00:07.508","27849"
"03/06/2018 17:00:12.512","27837"
"03/06/2018 17:00:17.515","27819"
"03/06/2018 17:00:22.516","27804"
"03/06/2018 17:00:27.507","27783"
"03/06/2018 17:00:34.604","27762"
"03/06/2018 17:00:43.824","27722"
"03/06/2018 17:00:52.506","27710"
"03/06/2018 17:00:57.511","27688"
"03/06/2018 17:01:02.516","27668"
"03/06/2018 17:01:07.516","27646"
"03/06/2018 17:01:12.505","27634"
"03/06/2018 17:01:17.513","27616"
"03/06/2018 17:01:22.540","27595"
"03/06/2018 17:01:33.144","27556"
"03/06/2018 17:01:37.508","27539"
"03/06/2018 17:01:42.514","27593"
"03/06/2018 17:01:47.514","27577"
"03/06/2018 17:01:52.503","27560"
"03/06/2018 17:01:57.509","27532"
"03/06/2018 17:02:02.515","27516"
"03/06/2018 17:02:10.452","27485"
"03/06/2018 17:02:18.269","27455"
"03/06/2018 17:02:22.503","27440"
"03/06/2018 17:02:27.507","27417"
"03/06/2018 17:02:32.511","27405"
"03/06/2018 17:02:37.511","27384"
"03/06/2018 17:02:42.514","27544"
"03/06/2018 17:02:47.504","27572"
"03/06/2018 17:02:52.513","27597"
"03/06/2018 17:02:57.505","27627"
"03/06/2018 17:03:02.505","27663"
"03/06/2018 17:03:07.512","27692"
"03/06/2018 17:03:12.505","27719"
"03/06/2018 17:03:17.504","27761"
"03/06/2018 17:03:22.510","27791"
"03/06/2018 17:03:27.518","27829"
