"(PDH-CSV 4.0) (GMT Daylight Time)(-60)","\\WILLS-DESKTOP\Memory\Available MBytes"
"04/24/2018 10:33:38.402","27971"
"04/24/2018 10:33:43.381","27927"
"04/24/2018 10:33:52.152","27837"
"04/24/2018 10:33:53.379","27884"
"04/24/2018 10:34:00.330","27752"
"04/24/2018 10:34:08.339","27688"
"04/24/2018 10:34:08.380","27688"
"04/24/2018 10:34:13.381","27672"
"04/24/2018 10:34:18.378","27622"
"04/24/2018 10:34:23.378","27696"
"04/24/2018 10:34:28.377","27569"
"04/24/2018 10:34:33.374","27532"
"04/24/2018 10:34:38.377","27488"
"04/24/2018 10:34:43.379","27455"
"04/24/2018 10:34:53.465","27389"
"04/24/2018 10:34:58.372","27345"
"04/24/2018 10:35:03.375","27305"
"04/24/2018 10:35:08.375","27255"
"04/24/2018 10:35:13.381","27208"
"04/24/2018 10:35:18.372","27161"
"04/24/2018 10:35:23.391","27115"
"04/24/2018 10:35:33.840","27144"
"04/24/2018 10:35:38.382","27101"
"04/24/2018 10:35:43.378","27056"
"04/24/2018 10:35:48.385","27010"
"04/24/2018 10:35:53.377","27155"
"04/24/2018 10:35:58.381","27159"
"04/24/2018 10:36:03.377","27151"
"04/24/2018 10:36:08.386","27157"
"04/24/2018 10:36:13.377","27313"
"04/24/2018 10:36:23.312","27039"
"04/24/2018 10:36:23.383","27039"
"04/24/2018 10:36:28.386","27017"
"04/24/2018 10:36:33.383","26996"
"04/24/2018 10:36:38.373","26977"
"04/24/2018 10:36:43.380","26955"
"04/24/2018 10:36:53.402","26907"
"04/24/2018 10:36:58.382","26892"
"04/24/2018 10:37:03.379","26877"
"04/24/2018 10:37:08.385","26850"
"04/24/2018 10:37:13.376","26830"
"04/24/2018 10:37:18.372","26809"
"04/24/2018 10:37:23.383","26789"
"04/24/2018 10:37:33.778","26719"
"04/24/2018 10:37:38.379","26702"
"04/24/2018 10:37:43.370","26685"
"04/24/2018 10:37:48.377","26659"
"04/24/2018 10:37:53.384","26633"
"04/24/2018 10:37:58.374","26605"
"04/24/2018 10:38:03.392","26586"
"04/24/2018 10:38:14.152","26546"
"04/24/2018 10:38:18.371","26764"
"04/24/2018 10:38:23.373","26743"
"04/24/2018 10:38:28.386","26709"
"04/24/2018 10:38:33.379","26684"
"04/24/2018 10:38:38.386","26654"
"04/24/2018 10:38:48.590","26597"
"04/24/2018 10:38:53.376","26570"
"04/24/2018 10:38:58.377","27042"
"04/24/2018 10:39:03.385","26981"
"04/24/2018 10:39:08.381","26979"
"04/24/2018 10:39:13.377","26988"
"04/24/2018 10:39:18.385","27839"
"04/24/2018 10:39:29.275","27000"
"04/24/2018 10:39:33.375","26999"
"04/24/2018 10:39:38.381","26999"
"04/24/2018 10:39:43.380","26998"
"04/24/2018 10:39:48.381","26994"
"04/24/2018 10:39:53.381","26997"
"04/24/2018 10:39:58.378","26995"
"04/24/2018 10:40:08.746","27180"
"04/24/2018 10:40:13.371","26978"
"04/24/2018 10:40:18.376","26977"
"04/24/2018 10:40:23.376","26974"
"04/24/2018 10:40:28.381","26970"
"04/24/2018 10:40:33.381","27111"
"04/24/2018 10:40:38.386","27140"
"04/24/2018 10:40:49.121","27131"
"04/24/2018 10:40:53.371","27129"
"04/24/2018 10:40:58.377","27259"
"04/24/2018 10:41:03.385","27804"
"04/24/2018 10:41:08.375","27410"
"04/24/2018 10:41:13.382","27219"
"04/24/2018 10:41:18.386","27581"
"04/24/2018 10:41:23.371","27795"
"04/24/2018 10:41:28.402","28000"
"04/24/2018 10:41:34.098","27990"
"04/24/2018 10:41:43.152","27928"
"04/24/2018 10:41:43.380","27928"
"04/24/2018 10:41:48.386","27902"
"04/24/2018 10:41:53.371","27879"
"04/24/2018 10:41:58.374","27849"
"04/24/2018 10:42:03.375","27817"
"04/24/2018 10:42:08.378","27783"
"04/24/2018 10:42:13.395","27780"
"04/24/2018 10:42:18.380","27753"
"04/24/2018 10:42:28.967","27735"
"04/24/2018 10:42:33.373","27708"
"04/24/2018 10:42:38.374","27672"
"04/24/2018 10:42:43.386","27645"
"04/24/2018 10:42:48.373","27612"
"04/24/2018 10:42:53.381","27580"
"04/24/2018 10:42:58.405","27556"
"04/24/2018 10:43:08.653","27541"
"04/24/2018 10:43:13.384","27518"
"04/24/2018 10:43:18.382","27479"
"04/24/2018 10:43:23.374","27590"
"04/24/2018 10:43:28.382","27590"
"04/24/2018 10:43:33.384","27571"
"04/24/2018 10:43:43.381","27526"
"04/24/2018 10:43:48.384","27500"
"04/24/2018 10:43:53.372","27473"
"04/24/2018 10:43:58.376","27448"
"04/24/2018 10:44:03.385","27419"
"04/24/2018 10:44:08.380","27388"
"04/24/2018 10:44:18.371","27325"
"04/24/2018 10:44:23.380","27300"
"04/24/2018 10:44:28.372","27265"
"04/24/2018 10:44:33.381","27235"
"04/24/2018 10:44:38.372","27202"
"04/24/2018 10:44:43.377","27274"
"04/24/2018 10:44:53.372","27210"
"04/24/2018 10:44:58.371","27184"
"04/24/2018 10:45:03.371","27276"
"04/24/2018 10:45:08.381","27350"
"04/24/2018 10:45:13.378","27350"
"04/24/2018 10:45:18.385","27455"
"04/24/2018 10:45:28.609","27422"
"04/24/2018 10:45:33.385","27410"
"04/24/2018 10:45:38.384","27390"
"04/24/2018 10:45:43.384","27365"
"04/24/2018 10:45:48.373","27347"
"04/24/2018 10:45:53.378","27327"
"04/24/2018 10:45:58.410","27306"
"04/24/2018 10:46:03.371","27282"
"04/24/2018 10:46:08.377","27263"
"04/24/2018 10:46:13.383","27240"
"04/24/2018 10:46:18.370","27223"
"04/24/2018 10:46:23.371","27202"
"04/24/2018 10:46:28.376","27338"
"04/24/2018 10:46:33.390","27251"
"04/24/2018 10:46:43.590","27190"
"04/24/2018 10:46:48.375","27137"
"04/24/2018 10:46:53.376","27456"
"04/24/2018 10:46:58.376","27452"
"04/24/2018 10:47:03.377","27442"
"04/24/2018 10:47:08.375","27438"
"04/24/2018 10:47:13.388","27511"
"04/24/2018 10:47:23.265","27426"
"04/24/2018 10:47:23.384","27426"
"04/24/2018 10:47:28.373","27421"
"04/24/2018 10:47:33.373","27416"
"04/24/2018 10:47:38.372","27444"
"04/24/2018 10:47:43.372","27471"
"04/24/2018 10:47:48.372","27460"
"04/24/2018 10:47:53.371","27720"
"04/24/2018 10:48:03.153","27526"
"04/24/2018 10:48:03.382","27527"
"04/24/2018 10:48:08.371","27649"
"04/24/2018 10:48:13.381","27822"
"04/24/2018 10:48:18.380","27729"
"04/24/2018 10:48:23.377","27980"
"04/24/2018 10:48:28.405","27942"
"04/24/2018 10:48:33.380","27912"
"04/24/2018 10:48:38.384","27895"
"04/24/2018 10:48:43.375","27863"
"04/24/2018 10:48:48.384","27838"
"04/24/2018 10:48:53.377","27805"
"04/24/2018 10:49:03.371","27772"
"04/24/2018 10:49:08.381","27820"
"04/24/2018 10:49:13.374","27749"
"04/24/2018 10:49:18.383","27720"
"04/24/2018 10:49:23.378","27691"
"04/24/2018 10:49:28.377","27667"
"04/24/2018 10:49:33.392","27642"
"04/24/2018 10:49:38.371","27612"
"04/24/2018 10:49:43.382","27584"
"04/24/2018 10:49:48.376","27556"
"04/24/2018 10:49:53.374","27523"
"04/24/2018 10:49:58.383","27553"
"04/24/2018 10:50:03.377","27522"
"04/24/2018 10:50:09.346","27490"
"04/24/2018 10:50:13.377","27588"
"04/24/2018 10:50:18.377","27734"
"04/24/2018 10:50:28.304","27533"
"04/24/2018 10:50:28.376","27533"
"04/24/2018 10:50:33.384","27507"
"04/24/2018 10:50:38.385","27484"
"04/24/2018 10:50:43.384","27457"
